coord.lon,coord.lat,aqi.dt,aqi.main.aqi,aqi.components.co,aqi.components.no,aqi.components.no2,aqi.components.o3,aqi.components.so2,aqi.components.pm2_5,aqi.components.pm10,aqi.components.nh3
-95.8361,41.2209,1670426460,3,614.17,24.59,32.9,2.84,1.86,20.52,23.46,7.98
-90.5138,41.5774,1670426460,2,417.23,9.28,21.25,9.12,0.71,12.25,13.68,5.83
-93.8075,41.598,1670426460,2,494.0,7.71,28.1,8.49,0.43,16.15,19.4,8.36
-116.2794,43.5917,1670426460,2,500.68,0.91,30.16,8.85,0.49,19.63,34.1,8.74
-116.8055,47.7038,1670426460,1,233.65,0.0,4.2,49.35,0.98,3.27,3.78,0.18
-112.0511,43.4843,1670426460,1,216.96,0.0,2.68,64.37,0.27,3.84,7.15,2.22
-112.4347,42.9003,1670426460,1,260.35,0.01,9.68,50.78,0.6,5.24,6.62,4.24
-88.3085,41.761,1670426460,2,397.21,6.87,27.08,18.42,4.05,16.79,21.12,0.4
-87.7217,41.5838,1670426460,2,440.6,8.94,40.1,5.54,10.73,19.51,26.33,0.74
-88.564,39.1373,1670426460,2,307.08,0.75,10.45,12.7,0.94,17.26,18.67,0.3
-88.9554,38.3164,1670426460,2,303.75,0.59,9.17,15.56,0.45,12.01,12.6,0.18
-88.9856,40.5081,1670426460,3,420.57,5.31,38.04,2.95,1.74,20.83,24.3,0.44
-89.1275,41.3476,1670426460,2,427.25,6.43,21.25,3.98,0.51,16.15,16.87,1.01
-88.9758,42.2462,1670426460,2,447.27,4.19,26.39,5.9,0.69,14.6,15.16,2.69
-89.6709,39.7498,1670426460,3,433.92,7.38,32.56,3.22,3.58,23.29,26.38,0.07
-84.9993,41.6351,1670426460,3,460.63,7.15,35.99,5.81,2.18,21.07,25.04,0.14
-86.0804,39.7026,1670426460,2,383.85,5.59,18.51,5.14,1.77,14.32,16.02,0.51
-86.8126,40.4148,1670426460,3,310.42,1.12,13.88,15.02,2.12,20.45,22.36,0.35
-86.1901,41.7191,1670426460,2,347.14,0.7,15.94,12.34,0.79,17.17,20.06,0.24
