TRT_ID,coord.lon,coord.lat,aqi.dt,aqi.main.aqi,aqi.components.co,aqi.components.no,aqi.components.no2,aqi.components.o3,aqi.components.so2,aqi.components.pm2_5,aqi.components.pm10,aqi.components.nh3
53372,-69.0703,44.2056,1670523624,1,257.02,0.29,1.33,52.93,0.97,0.67,0.73,0.09
53379,-118.3209,33.8589,1670523624,5,1695.63,189.54,101.45,8.49,16.45,114.37,142.33,11.78
53380,-122.1368,37.4215,1670523624,4,714.3,33.53,65.12,3.17,7.51,44.94,53.87,1.19
53382,-84.3739,33.8472,1670523623,1,307.08,6.09,19.36,15.02,6.91,8.5,10.59,0.2
53383,-81.6192,41.5016,1670523624,1,213.62,0.13,2.61,70.81,1.83,0.5,0.94,0.2
53394,-117.1566,32.9073,1670523624,2,527.38,25.26,25.02,16.81,0.98,15.07,21.16,2.44
53395,-77.0403,38.8961,1670523624,1,277.04,0.81,8.31,53.64,2.56,3.38,4.08,0.47
53398,-88.8925,30.4132,1670523624,1,216.96,0.5,2.79,54.36,0.98,4.2,8.13,0.07
53399,-88.892,30.4134,1670523624,1,216.96,0.5,2.79,54.36,0.98,4.2,8.13,0.07
53400,-73.9786,40.6895,1670523623,1,300.41,2.35,14.05,44.7,3.4,2.32,3.4,0.91
53401,-73.9544,40.8074,1670523624,1,257.02,0.5,4.24,61.51,0.88,1.05,1.42,0.24
53402,-73.9622,40.7205,1670523624,1,300.41,2.35,14.05,44.7,3.4,2.32,3.4,0.91
53403,-73.9502,40.7822,1670523623,1,300.41,2.35,14.05,44.7,3.4,2.32,3.4,0.91
53404,-73.9821,40.6831,1670523624,1,300.41,2.35,14.05,44.7,3.4,2.32,3.4,0.91
53405,-73.968,40.7531,1670523623,1,300.41,2.35,14.05,44.7,3.4,2.32,3.4,0.91
53406,-74.0053,40.7498,1670523624,1,280.38,1.26,7.71,52.93,1.65,1.54,2.49,0.48
53407,-74.0107,40.7045,1670523623,1,280.38,1.26,7.71,52.93,1.65,1.54,2.49,0.48
53408,-73.9675,40.7939,1670523623,1,300.41,2.35,14.05,44.7,3.4,2.32,3.4,0.91
53409,-73.9478,40.776,1670523623,1,300.41,2.35,14.05,44.7,3.4,2.32,3.4,0.91
53410,-80.8786,35.7999,1670523624,1,250.34,0.77,5.74,24.68,1.31,5.75,6.61,0.0
53411,-96.305,39.2034,1670523624,2,277.04,0.69,9.0,20.39,4.95,11.28,11.42,0.13
53412,-96.3076,39.2018,1670523624,2,277.04,0.69,9.0,20.39,4.95,11.28,11.42,0.13
53413,-122.0253,37.3765,1670523624,4,687.6,41.57,38.39,2.12,2.09,34.63,41.36,2.88
53414,-117.8496,33.6783,1670523622,5,1602.17,135.9,91.85,11.27,8.11,103.8,124.85,5.38
53416,-121.9398,37.4837,1670523623,4,667.57,42.02,49.35,3.93,3.1,36.9,44.79,1.55
53425,-118.2738,34.0234,1670523624,5,1028.06,107.29,63.06,9.74,5.66,67.1,91.68,5.26
53436,-80.946,41.7682,1670523624,1,213.62,0.15,2.29,71.53,1.43,0.5,0.79,0.27
53438,-70.1077,43.8558,1670523624,1,243.66,0.24,1.37,70.1,0.98,0.55,0.62,0.11
53439,-72.5973,40.9487,1670523624,1,240.33,0.48,3.34,77.96,0.83,1.51,1.8,0.14
53443,-90.3262,39.1197,1670523624,2,300.41,0.96,10.2,29.33,3.31,12.97,13.1,0.02
53450,-76.6217,39.3258,1670523624,1,267.03,0.51,6.17,56.51,0.71,3.0,3.57,0.33
53451,-81.2518,28.421,1670523624,1,240.33,2.29,12.17,75.82,1.61,6.14,8.69,0.36
53452,-77.5953,37.5092,1670523624,1,270.37,0.99,8.14,47.21,1.3,4.71,5.34,0.09
53453,-118.2585,34.0515,1670523624,5,1028.06,107.29,63.06,9.74,5.66,67.1,91.68,5.26
53460,-120.9008,35.6549,1670523624,1,280.38,1.2,8.14,26.82,0.05,5.81,6.58,2.79
53462,-97.7417,30.2628,1670523624,1,201.94,0.8,3.94,46.49,1.57,3.9,5.16,0.16
53463,-111.9639,33.5345,1670523624,4,867.84,54.99,35.99,13.59,1.43,46.83,66.97,5.13
