base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,main.sea_level,main.grnd_level,wind.gust,rain.1h,weather.id,weather.main,weather.description,weather.icon
stations,10000.0,2022-09-22 13:00:00,-18000.0,4685773.0,Del Mar,200.0,-99.5333,27.5994,23.04,23.93,23.03,24.8,1016.0,97.0,2.57,140.0,0.0,1.0,4756.0,US,2022-09-22 12:26:37,2022-09-23 00:35:05,,,,,801,Clouds,few clouds,02d
stations,10000.0,2022-09-22 13:00:00,-18000.0,7280712.0,Col. Bosques de las Lomas,200.0,-99.2628,19.3573,13.23,12.59,11.02,13.85,1020.0,76.0,2.01,28.0,100.0,2.0,2037014.0,MX,2022-09-22 12:25:56,2022-09-23 00:33:37,1020.0,754.0,2.26,,800,Clear,clear sky,01d
stations,10000.0,2022-09-22 13:00:00,-18000.0,3514633.0,Vista Hermosa,200.0,-99.2045,19.529,14.72,14.1,14.67,15.84,1019.0,71.0,1.83,19.0,100.0,2.0,2040357.0,MX,2022-09-22 12:25:41,2022-09-23 00:33:23,1019.0,782.0,1.94,,800,Clear,clear sky,01d
stations,10000.0,2022-09-22 13:00:00,-18000.0,3530597.0,Mexico City,200.0,-99.1195,19.4246,15.01,14.39,14.98,16.15,1018.0,70.0,3.58,40.0,100.0,2.0,47729.0,MX,2022-09-22 12:25:21,2022-09-23 00:33:03,,,,,741,Fog,fog,50d
stations,10000.0,2022-09-22 13:00:00,-18000.0,3527634.0,Ampliación Casas Alemán,200.0,-99.086,19.4525,15.02,14.41,14.99,16.16,1026.0,70.0,3.58,40.0,100.0,2.0,47729.0,MX,2022-09-22 12:25:13,2022-09-23 00:32:55,,,,,804,Clouds,overcast clouds,04d
stations,10000.0,2022-09-22 13:00:00,-18000.0,3518531.0,San Lorenzo Tezonco,200.0,-99.0738,19.3044,15.35,14.9,13.29,16.12,1019.0,75.0,2.12,5.0,100.0,2.0,47729.0,MX,2022-09-22 12:25:10,2022-09-23 00:32:52,1019.0,786.0,2.74,,800,Clear,clear sky,01d
stations,10000.0,2022-09-22 13:00:00,-18000.0,3526683.0,Iztapalapa,200.0,-99.0738,19.3607,15.31,14.83,13.32,16.16,1026.0,74.0,3.58,40.0,100.0,2.0,47729.0,MX,2022-09-22 12:25:10,2022-09-23 00:32:52,,,,,804,Clouds,overcast clouds,04d
stations,10000.0,2022-09-22 13:00:00,-18000.0,3517620.0,Santa Clara Coatitla,200.0,-99.0303,19.5329,15.02,14.33,15.0,16.17,1019.0,67.0,1.99,9.0,100.0,2.0,47729.0,MX,2022-09-22 12:24:59,2022-09-23 00:32:42,1019.0,786.0,2.29,,804,Clouds,overcast clouds,04d
stations,10000.0,2022-09-22 13:00:00,-18000.0,4552740.0,Taloga,200.0,-98.9353,36.1589,14.2,13.37,14.2,14.64,1023.0,65.0,7.4,25.0,13.0,2.0,2027024.0,US,2022-09-22 12:23:40,2022-09-23 00:33:15,1023.0,961.0,8.66,,804,Clouds,overcast clouds,04d
stations,10000.0,2022-09-22 13:00:00,-18000.0,4705923.0,Leon Valley,200.0,-98.62,29.515,23.24,23.87,20.55,25.59,1017.0,86.0,2.24,360.0,0.0,2.0,2021868.0,US,2022-09-22 12:22:52,2022-09-23 00:31:33,,,4.02,,804,Clouds,overcast clouds,04d
